NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
"Carmelo Anthony, SF",NY,74,34.3,1.87,-1.75,0.12,9
"Zaza Pachulia, C",GS,70,18.1,-0.31,3.23,2.92,42
"Wesley Matthews, SG",DAL,73,34.2,0.09,0.11,0.2,42
"Marcin Gortat, C",WSH,82,31.2,-1.25,1.18,-0.07,31
"Patty Mills, PG",SA,80,21.9,2.53,-1.26,1.27,2
"Al-Farouq Aminu, SF",POR,61,29.1,-1.86,3.13,1.27,44
"Danny Green, SG",SA,68,26.6,-0.45,1.71,1.26,40
"Vince Carter, SG",MEM,73,24.7,1.36,-0.06,1.3,47
"Harrison Barnes, SF",DAL,79,35.5,-0.44,0.11,-0.33,51
"Tyler Johnson, SG",MIA,73,29.8,0.13,0.18,0.31,34
"DeMarre Carroll, SF",TOR,72,26.1,0,0.83,0.83,29
"Manu Ginobili, SG",SA,69,18.7,1.43,1,2.43,55
"Tristan Thompson, C",CLE,78,29.9,-1.31,1.31,0,16
"Seth Curry, SG",DAL,70,29,0.52,0.01,0.53,1
"Dewayne Dedmon, C",SA,76,17.5,-1.63,3.94,2.31,43
"Ish Smith, PG",DET,81,24.1,0.28,0.25,0.53,11
"Luc Mbah a Moute, PF",LAC,80,22.3,-1.56,2.32,0.76,57
"Frank Kaminsky, C",CHA,75,26.1,0.96,-0.51,0.45,46
"Nene Hilario, C",HOU,67,17.9,-1.31,3.62,2.31,44
"Marvin Williams, PF",CHA,76,30.2,-0.02,-0.07,-0.09,42
"Andre Drummond, C",DET,81,29.7,-1.8,1.55,-0.25,50
"Taj Gibson, PF",CHI/OKC,78,25.5,-1.76,2.02,0.26,17
"Gary Harris, SG",DEN,57,31.3,2.88,-2.37,0.51,24
"Jameer Nelson, PG",DEN,75,27.3,0.45,-0.44,0.01,29
"Jonas Valanciunas, C",TOR,80,25.8,-0.74,0.75,0.01,33
"Terrence Ross, SF",ORL/TOR,78,25.1,1.36,-1.23,0.13,28
"Lucas Nogueira, C",TOR,57,19.1,-0.61,3.34,2.73,46
"Kentavious Caldwell-Pope, SG",DET,76,33.3,0.71,-1.31,-0.6,44
"David Lee, PF",SA,79,18.7,-0.38,1.5,1.12,42
"Jared Dudley, SF",PHX,64,21.3,-0.67,1.89,1.22,59
"JaMychal Green, PF",MEM,77,27.3,-0.41,0.39,-0.02,25
"JJ Redick, SG",LAC,78,28.2,1.73,-2.11,-0.38,46
"CJ Miles, SF",IND,76,23.4,1.3,-0.95,0.35,28
"Nick Young, SG",LAL,60,25.9,2.28,-1.63,0.65,6
"Larry Nance Jr., PF",LAL,63,22.9,-1.26,2.16,0.9,28
"Tony Allen, SG",MEM,71,27,-2.03,2.15,0.12,33
"Channing Frye, PF",CLE,74,18.9,1.62,-0.58,1.04,13
"Marreese Speights, PF",LAC,82,15.7,0.67,0.69,1.36,52
"Wayne Ellington, SG",MIA,62,24.2,2.26,-1.6,0.66,41
"Tyson Chandler, C",PHX,47,27.6,-1.06,2.2,1.14,8
"Thabo Sefolosha, SF",ATL,62,25.7,-1.93,2.27,0.34,6
"Kelly Olynyk, C",BOS,75,20.5,-0.31,0.81,0.5,26
"Darren Collison, PG",SAC,68,30.3,1.06,-1.47,-0.41,29
"Courtney Lee, SG",NY,77,31.9,0.58,-1.51,-0.93,14
"Jusuf Nurkic, C",DEN/POR,65,21.4,-2.11,2.73,0.62,59
"Trevor Booker, PF",BKN,71,24.7,-2.29,2,-0.29,12
"Tony Snell, SF",MIL,80,29.2,-0.02,-0.85,-0.87,31
"Rondae Hollis-Jefferson, SG",BKN,78,22.6,-2.16,1.78,-0.38,5
