player,games_played,minutes_played,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_points_made,three_points_attempted,three_point_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,rebounds,assists,steals,blocks,turnovers,efficiency
James Bouknight,29,10.3,4.8,1.7,4.7,35,0.6,1.7,34.7,0.9,1.1,87.1,0.7,0.9,1.6,0.8,0.2,0,0.5,3.9
Greg Brown III,45,12.7,4.8,1.7,3.9,44,0.4,1.1,33.3,1,1.4,67.7,0.8,1.9,2.7,0.6,0.6,0.5,0.6,5.9
Moses Moody,50,11.7,4.4,1.5,3.6,43,0.8,2.2,35.2,0.6,0.7,77.8,0.3,1.2,1.5,0.4,0.1,0.2,0.3,4.3
Jared Butler,40,8.4,3.8,1.5,3.6,40.3,0.7,2.1,32.1,0.2,0.3,58.3,0.1,0.9,1,1.5,0.4,0.2,0.8,3.8
Santi Aldama,30,10.6,3.5,1.4,3.6,39.4,0.1,1.4,9.8,0.5,0.8,58.3,0.8,1.6,2.4,0.5,0.1,0.3,0.4,3.9
Dalano Banton,64,10.9,3.2,1.3,3.2,41.1,0.2,0.8,25.5,0.4,0.7,59.1,0.6,1.3,1.9,1.5,0.4,0.2,0.8,4.3
Sandro Mamukelashvili,39,9.2,3.2,1.2,2.5,47.9,0.5,1.2,42.6,0.3,0.4,75,0.8,0.9,1.7,0.5,0.2,0.2,0.3,4.1
Justin Champagnie,35,7.8,2.2,0.9,1.9,46.2,0.3,0.7,34.6,0.3,0.3,100,1.1,0.9,2,0.3,0.2,0.1,0.2,3.7
Miles McBride,39,9.1,2.2,0.8,2.6,30.1,0.4,1.6,25,0.2,0.3,66.7,0.1,0.9,1,1,0.3,0,0.1,2.6
JT Thor,30,8.3,2.2,0.8,1.8,44.4,0.2,0.9,26.9,0.4,0.6,61.1,0.4,1,1.4,0.6,0.3,0.3,0.3,3.2
Ish Wainright,44,7.4,2.1,0.8,2,38.9,0.4,1.2,31.4,0.2,0.3,58.3,0.6,0.6,1.2,0.3,0.4,0.1,0.3,2.5
Jericho Sims,39,12.4,2,0.9,1.2,76.1,0,0,0,0.2,0.6,32,1.4,2.4,3.8,0.4,0.2,0.5,0.4,5.8
Leandro Bolmaro,34,6.6,1.1,0.4,1.3,28.9,0.1,0.5,23.5,0.3,0.3,81.8,0.4,0.7,1.1,0.5,0.2,0,0.4,1.6
